categoria,grupo,nome_popular,nome_cientifico,onde
planta,árvore nativa,Ipê-amarelo,Handroanthus albus,Mata Atlântica; Cerrado
planta,árvore nativa,Ipê-amarelo-do-cerrado,Handroanthus ochraceus,Cerrado
planta,árvore nativa,Ipê-roxo,Handroanthus impetiginosus,Mata Atlântica; Cerrado; Caatinga
planta,árvore nativa,Ipê-rosa,Handroanthus heptaphyllus,Mata Atlântica
planta,árvore nativa,Ipê-branco,Tabebuia roseoalba,Cerrado; Pantanal
planta,árvore nativa,Pau-brasil,Paubrasilia echinata,Mata Atlântica
planta,árvore nativa,Jatobá,Hymenaea courbaril,Amazônia; Cerrado; Mata Atlântica
planta,árvore nativa,Jequitibá-rosa,Cariniana legalis,Mata Atlântica
planta,árvore nativa,Jequitibá-branco,Cariniana estrellensis,Mata Atlântica; Cerrado
planta,árvore nativa,Peroba-rosa,Aspidosperma polyneuron,Mata Atlântica
planta,árvore nativa,Cedro-rosa,Cedrela fissilis,Mata Atlântica; Amazônia
planta,árvore nativa,Mogno-brasileiro,Swietenia macrophylla,Amazônia
planta,árvore nativa,Castanheira-do-pará,Bertholletia excelsa,Amazônia
planta,árvore nativa,Seringueira,Hevea brasiliensis,Amazônia
planta,árvore nativa,Sumaúma,Ceiba pentandra,Amazônia
planta,árvore nativa,Paineira-rosa,Ceiba speciosa,Mata Atlântica; Cerrado
planta,árvore nativa,Barriguda,Ceiba glaziovii,Caatinga
planta,árvore nativa,Araucária,Araucaria angustifolia,Mata Atlântica (Sul)
planta,árvore nativa,Pau-ferro,Libidibia ferrea,Mata Atlântica; Caatinga
planta,árvore nativa,Sibipiruna,Cenostigma pluviosum,Mata Atlântica
planta,árvore nativa,Pau-mulato,Calycophyllum spruceanum,Amazônia
planta,árvore nativa,Angico-vermelho,Anadenanthera colubrina,Cerrado; Caatinga; Mata Atlântica
planta,árvore nativa,Angico-branco,Anadenanthera peregrina,Cerrado
planta,árvore nativa,Aroeira-do-sertão,Myracrodruon urundeuva,Caatinga; Cerrado
planta,árvore nativa,Aroeira-pimenteira,Schinus terebinthifolia,Mata Atlântica
planta,árvore nativa,Gonçalo-alves,Astronium fraxinifolium,Cerrado
planta,árvore nativa,Pequi,Caryocar brasiliense,Cerrado
planta,árvore nativa,Baru,Dipteryx alata,Cerrado
planta,árvore nativa,Cumaru,Dipteryx odorata,Amazônia
planta,árvore nativa,Buriti,Mauritia flexuosa,Cerrado; Amazônia (veredas)
planta,árvore nativa,Açaizeiro,Euterpe oleracea,Amazônia
planta,árvore nativa,Juçara,Euterpe edulis,Mata Atlântica
planta,árvore nativa,Babaçu,Attalea speciosa,Amazônia; Cerrado (MA/PI/TO)
planta,árvore nativa,Carnaúba,Copernicia prunifera,Caatinga (CE/PI/RN)
planta,árvore nativa,Macaúba,Acrocomia aculeata,Cerrado; Mata Atlântica
planta,árvore nativa,Guariroba,Syagrus oleracea,Cerrado
planta,árvore nativa,Jerivá,Syagrus romanzoffiana,Mata Atlântica
planta,árvore nativa,Butiá,Butia capitata,Cerrado; Pampa
planta,árvore nativa,Pupunha,Bactris gasipaes,Amazônia
planta,árvore nativa,Tucumã,Astrocaryum aculeatum,Amazônia
planta,árvore nativa,Bacaba,Oenocarpus bacaba,Amazônia
planta,árvore nativa,Cajueiro,Anacardium occidentale,Caatinga; Cerrado; litoral NE
planta,árvore nativa,Cajuí,Anacardium humile,Cerrado
planta,árvore nativa,Goiabeira,Psidium guajava,Todo o Brasil
planta,árvore nativa,Araçá,Psidium cattleyanum,Mata Atlântica
planta,árvore nativa,Jabuticabeira,Plinia cauliflora,Mata Atlântica
planta,árvore nativa,Pitangueira,Eugenia uniflora,Mata Atlântica
planta,árvore nativa,Grumixama,Eugenia brasiliensis,Mata Atlântica
planta,árvore nativa,Uvaia,Eugenia pyriformis,Mata Atlântica
planta,árvore nativa,Cambuci,Campomanesia phaea,Mata Atlântica (SP)
planta,árvore nativa,Gabiroba,Campomanesia xanthocarpa,Mata Atlântica; Cerrado
planta,árvore nativa,Cagaita,Eugenia dysenterica,Cerrado
planta,árvore nativa,Mangaba,Hancornia speciosa,Cerrado; litoral NE
planta,árvore nativa,Cupuaçu,Theobroma grandiflorum,Amazônia
planta,árvore nativa,Cacaueiro,Theobroma cacao,Amazônia; sul da Bahia
planta,árvore nativa,Guaraná,Paullinia cupana,Amazônia
planta,árvore nativa,Bacuri,Platonia insignis,Amazônia
planta,árvore nativa,Umbuzeiro,Spondias tuberosa,Caatinga
planta,árvore nativa,Cajazeira,Spondias mombin,Amazônia; Mata Atlântica
planta,árvore nativa,Seriguela,Spondias purpurea,Nordeste (cultivada)
planta,árvore nativa,Juazeiro,Sarcomphalus joazeiro,Caatinga
planta,árvore nativa,Mandacaru,Cereus jamacaru,Caatinga
planta,árvore nativa,Xique-xique,Xiquexique gounellei,Caatinga
planta,árvore nativa,Facheiro,Pilosocereus pachycladus,Caatinga
planta,árvore nativa,Coroa-de-frade,Melocactus zehntneri,Caatinga
planta,árvore nativa,Catingueira,Cenostigma pyramidale,Caatinga
planta,árvore nativa,Jurema-preta,Mimosa tenuiflora,Caatinga
planta,árvore nativa,Baraúna,Schinopsis brasiliensis,Caatinga
planta,árvore nativa,Umburana-de-cheiro,Amburana cearensis,Caatinga; Cerrado
planta,árvore nativa,Pau-d'arco,Handroanthus serratifolius,Amazônia; Cerrado; Caatinga
planta,árvore nativa,Mulungu,Erythrina verna,Mata Atlântica; Caatinga
planta,árvore nativa,Eritrina-candelabro,Erythrina speciosa,Mata Atlântica
planta,árvore nativa,Pau-de-tucano,Vochysia tucanorum,Cerrado
planta,árvore nativa,Pau-terra,Qualea grandiflora,Cerrado
planta,árvore nativa,Lobeira,Solanum lycocarpum,Cerrado
planta,árvore nativa,Barbatimão,Stryphnodendron adstringens,Cerrado
planta,árvore nativa,Sucupira-preta,Bowdichia virgilioides,Cerrado
planta,árvore nativa,Copaíba,Copaifera langsdorffii,Cerrado; Mata Atlântica
planta,árvore nativa,Tamboril,Enterolobium contortisiliquum,Mata Atlântica; Cerrado
planta,árvore nativa,Guapuruvu,Schizolobium parahyba,Mata Atlântica
planta,árvore nativa,Embaúba,Cecropia pachystachya,Mata Atlântica; Cerrado
planta,árvore nativa,Figueira-branca,Ficus guaranitica,Mata Atlântica
planta,árvore nativa,Figueira-mata-pau,Ficus adhatodifolia,Mata Atlântica
planta,árvore nativa,Pau-jacaré,Piptadenia gonoacantha,Mata Atlântica
planta,árvore nativa,Canela-sassafrás,Ocotea odorifera,Mata Atlântica
planta,árvore nativa,Imbuia,Ocotea porosa,Mata Atlântica (Sul)
planta,árvore nativa,Canjerana,Cabralea canjerana,Mata Atlântica
planta,árvore nativa,Garapa,Apuleia leiocarpa,Mata Atlântica
planta,árvore nativa,Jacarandá-da-bahia,Dalbergia nigra,Mata Atlântica
planta,árvore nativa,Jacarandá-mimoso,Jacaranda mimosifolia,Cultivada (exótica sul-americana)
planta,árvore nativa,Caroba,Jacaranda cuspidifolia,Cerrado
planta,árvore nativa,Quaresmeira,Tibouchina granulosa,Mata Atlântica
planta,árvore nativa,Manacá-da-serra,Tibouchina mutabilis,Mata Atlântica
planta,árvore nativa,Pau-formiga,Triplaris americana,Amazônia; Pantanal
